iter	Passed	Remaining
0	133	133656
1	134	67153
2	135	44928
3	135	33813
4	136	27140
5	136	22686
6	137	19505
7	138	17119
8	138	15262
9	139	13777
10	139	12562
11	140	11551
12	140	10694
13	141	9959
14	141	9323
15	142	8765
16	143	8273
17	143	7835
18	144	7444
19	144	7092
20	145	6773
21	145	6487
22	146	6223
23	147	5980
24	147	5754
25	148	5546
26	148	5351
27	148	5171
28	149	5003
29	149	4847
30	150	4701
31	150	4563
32	151	4434
33	151	4313
34	152	4198
35	152	4090
36	153	3988
37	153	3891
38	154	3799
39	154	3711
40	155	3628
41	155	3549
42	156	3474
43	156	3401
44	157	3332
45	157	3267
46	158	3203
47	158	3143
48	158	3085
49	159	3029
50	159	2976
51	160	2924
52	160	2875
53	161	2827
54	161	2781
55	162	2736
56	162	2693
57	163	2652
58	163	2612
59	164	2573
60	164	2535
61	165	2499
62	165	2464
63	166	2430
64	166	2397
65	167	2365
66	167	2335
67	167	2302
68	168	2272
69	168	2244
70	169	2216
71	169	2189
72	170	2162
73	170	2137
74	171	2112
75	171	2088
76	172	2064
77	172	2041
78	173	2018
79	173	1997
80	174	1976
81	174	1956
82	175	1936
83	175	1916
84	176	1895
85	176	1877
86	177	1858
87	177	1840
88	178	1822
89	178	1804
90	178	1787
91	179	1771
92	179	1754
93	180	1739
94	180	1723
95	181	1708
96	181	1693
97	182	1678
98	182	1663
99	183	1649
100	183	1635
101	184	1620
102	184	1606
103	184	1593
104	185	1580
105	185	1568
106	186	1555
107	186	1543
108	187	1531
109	188	1521
110	188	1509
111	188	1498
112	189	1487
113	189	1476
114	190	1465
115	190	1453
116	191	1443
117	191	1433
118	192	1422
119	192	1412
120	193	1402
121	193	1392
122	193	1381
123	194	1372
124	194	1363
125	195	1354
126	195	1345
127	196	1335
128	196	1326
129	196	1318
130	197	1309
131	197	1301
132	198	1293
133	198	1285
134	199	1277
135	199	1269
136	200	1262
137	200	1253
138	201	1247
139	201	1239
140	202	1232
141	202	1225
142	203	1218
143	203	1211
144	204	1204
145	204	1198
146	205	1191
147	205	1184
148	206	1178
149	206	1171
150	207	1165
151	207	1158
152	208	1152
153	208	1146
154	209	1140
155	209	1134
156	210	1128
157	210	1122
158	211	1116
159	211	1110
160	212	1105
161	212	1099
162	213	1093
163	213	1088
164	214	1083
165	214	1077
166	215	1072
167	215	1067
168	216	1062
169	216	1057
170	217	1052
171	217	1047
172	218	1042
173	218	1037
174	219	1032
175	219	1027
176	220	1022
177	220	1018
178	220	1013
179	221	1008
180	221	1003
181	222	998
182	222	994
183	223	989
184	223	985
185	224	980
186	224	976
187	225	971
188	225	967
189	225	963
190	226	959
191	226	955
192	227	950
193	227	946
194	228	942
195	228	938
196	229	934
197	229	931
198	230	927
199	230	923
200	231	919
201	231	915
202	232	912
203	232	908
204	233	904
205	233	900
206	234	897
207	234	893
208	235	890
209	235	886
210	236	883
211	236	879
212	237	876
213	237	872
214	238	869
215	238	865
216	239	862
217	239	859
218	239	855
219	240	852
220	240	849
221	241	846
222	241	842
223	242	839
224	242	836
225	243	833
226	243	830
227	244	827
228	244	824
229	245	821
230	245	818
231	246	815
232	246	812
233	247	809
234	247	806
235	248	803
236	248	800
237	249	797
238	249	794
239	250	791
240	250	789
241	251	786
242	251	783
243	251	780
244	252	778
245	252	775
246	253	772
247	253	769
248	254	767
249	254	764
250	255	761
251	255	759
252	256	756
253	256	754
254	257	751
255	257	749
256	258	746
257	258	744
258	259	741
259	259	739
260	260	736
261	260	734
262	261	731
263	261	729
264	262	727
265	262	724
266	263	722
267	263	719
268	264	717
269	264	715
270	265	712
271	265	710
272	265	708
273	266	705
274	266	703
275	267	701
276	267	699
277	268	696
278	268	694
279	269	692
280	269	690
281	270	688
282	270	686
283	271	683
284	271	681
285	272	679
286	272	677
287	273	675
288	273	673
289	274	671
290	274	669
291	275	667
292	275	664
293	276	662
294	276	660
295	277	658
296	277	656
297	277	654
298	278	652
299	278	650
300	279	648
301	279	646
302	280	644
303	280	642
304	281	641
305	281	639
306	282	637
307	282	635
308	283	633
309	283	631
310	284	629
311	284	627
312	285	625
313	285	624
314	286	622
315	286	620
316	287	618
317	287	616
318	288	614
319	288	613
320	289	611
321	289	609
322	289	607
323	290	605
324	290	604
325	291	602
326	291	600
327	292	598
328	292	597
329	293	595
330	293	593
331	294	592
332	294	590
333	295	588
334	295	587
335	296	585
336	296	583
337	297	582
338	297	580
339	298	578
340	298	577
341	299	575
342	299	574
343	300	572
344	300	570
345	301	569
346	301	567
347	302	566
348	302	564
349	303	562
350	303	561
351	304	559
352	304	558
353	304	556
354	305	554
355	305	553
356	306	551
357	306	550
358	307	548
359	307	547
360	308	545
361	308	544
362	309	542
363	309	541
364	310	539
365	310	538
366	311	536
367	311	535
368	312	533
369	312	532
370	313	531
371	313	529
372	314	528
373	314	526
374	315	525
375	315	523
376	316	522
377	316	520
378	317	519
379	317	518
380	317	516
381	318	515
382	318	513
383	319	512
384	319	511
385	320	509
386	320	508
387	321	506
388	321	505
389	322	504
390	322	502
391	323	501
392	323	500
393	324	498
394	324	497
395	325	496
396	325	494
397	326	493
398	326	492
399	327	490
400	327	489
401	328	488
402	328	486
403	329	485
404	329	484
405	330	482
406	330	481
407	331	480
408	331	479
409	331	477
410	332	476
411	332	475
412	333	473
413	333	472
414	334	471
415	334	470
416	335	468
417	335	467
418	336	466
419	336	465
420	337	463
421	337	462
422	338	461
423	338	460
424	339	458
425	339	457
426	340	456
427	340	455
428	341	454
429	341	453
430	342	451
431	342	450
432	343	449
433	343	448
434	344	447
435	344	446
436	345	444
437	345	443
438	346	442
439	346	441
440	347	440
441	347	438
442	348	437
443	348	436
444	349	435
445	349	434
446	350	433
447	350	432
448	351	430
449	351	429
450	352	428
451	352	427
452	353	426
453	353	425
454	354	424
455	354	423
456	355	421
457	355	420
458	356	419
459	356	418
460	357	417
461	357	416
462	358	415
463	358	414
464	358	413
465	359	411
466	359	410
467	360	409
468	360	408
469	361	407
470	361	406
471	362	405
472	362	404
473	363	403
474	363	402
475	364	401
476	364	399
477	365	398
478	365	397
479	366	396
480	366	395
481	367	394
482	367	393
483	368	392
484	368	391
485	369	390
486	369	389
487	370	388
488	371	387
489	371	386
490	372	386
491	373	385
492	373	384
493	374	383
494	374	382
495	375	381
496	375	380
497	376	379
498	376	378
499	377	377
500	377	376
501	378	375
502	378	374
503	379	373
504	379	372
505	380	371
506	380	370
507	381	369
508	381	368
509	382	367
510	382	366
511	383	365
512	383	364
513	384	363
514	384	362
515	385	361
516	385	360
517	386	359
518	386	358
519	387	357
520	387	356
521	388	355
522	388	354
523	389	353
524	389	352
525	390	351
526	390	350
527	391	349
528	392	349
529	392	348
530	393	347
531	393	346
532	394	345
533	394	344
534	395	343
535	395	342
536	396	341
537	396	340
538	397	339
539	397	338
540	398	337
541	398	336
542	399	335
543	399	334
544	400	334
545	400	333
546	401	332
547	401	331
548	402	330
549	402	329
550	403	328
551	403	327
552	404	326
553	404	325
554	405	324
555	405	323
556	406	322
557	406	321
558	406	321
559	407	320
560	407	319
561	408	318
562	408	317
563	409	316
564	409	315
565	410	314
566	410	313
567	411	312
568	411	311
569	412	310
570	412	310
571	413	309
572	413	308
573	414	307
574	414	306
575	415	305
576	415	304
577	416	303
578	416	302
579	417	302
580	417	301
581	418	300
582	418	299
583	419	298
584	419	297
585	420	296
586	420	295
587	421	295
588	421	294
589	422	293
590	422	292
591	423	291
592	423	290
593	423	289
594	424	288
595	424	288
596	425	287
597	425	286
598	426	285
599	426	284
600	427	283
601	427	282
602	428	281
603	428	281
604	429	280
605	429	279
606	430	278
607	430	277
608	431	276
609	431	276
610	432	275
611	432	274
612	433	273
613	433	272
614	434	271
615	434	270
616	435	270
617	435	269
618	436	268
619	436	267
620	437	266
621	437	265
622	438	265
623	438	264
624	439	263
625	439	262
626	439	261
627	440	260
628	440	260
629	441	259
630	441	258
631	442	257
632	442	256
633	443	255
634	443	255
635	444	254
636	444	253
637	445	252
638	445	251
639	446	250
640	446	250
641	447	249
642	447	248
643	447	247
644	448	246
645	448	246
646	449	245
647	449	244
648	450	243
649	450	242
650	451	241
651	451	241
652	452	240
653	452	239
654	453	238
655	453	237
656	454	237
657	454	236
658	455	235
659	455	234
660	456	233
661	456	233
662	457	232
663	457	231
664	458	230
665	458	230
666	459	229
667	459	228
668	460	227
669	460	226
670	461	226
671	461	225
672	462	224
673	462	223
674	463	222
675	463	222
676	464	221
677	464	220
678	465	219
679	465	219
680	465	218
681	466	217
682	466	216
683	467	215
684	467	215
685	468	214
686	468	213
687	469	212
688	469	212
689	470	211
690	470	210
691	471	209
692	471	208
693	472	208
694	472	207
695	473	206
696	473	205
697	474	205
698	474	204
699	475	203
700	475	202
701	476	202
702	476	201
703	477	200
704	477	199
705	477	199
706	478	198
707	478	197
708	479	196
709	479	196
710	480	195
711	480	194
712	481	193
713	481	193
714	482	192
715	482	191
716	483	190
717	483	190
718	484	189
719	484	188
720	485	187
721	485	187
722	486	186
723	486	185
724	487	184
725	487	184
726	488	183
727	488	182
728	489	181
729	489	181
730	490	180
731	490	179
732	491	178
733	491	178
734	492	177
735	492	176
736	493	175
737	493	175
